BLOCKID|DISTRICT
720019563001000|98
720019563001001|98
720019563001002|98
720019563001003|98
720019563001004|98
720019563001005|98
720019563001006|98
720019563001007|98
720019563001008|98
720019563001009|98
720019563001010|98
720019563001011|98
720019563001012|98
720019563001013|98
720019563001014|98
720019563001015|98
720019563001016|98
720019563001017|98
720019563001018|98
720019563001019|98
720019563001020|98
720019563001021|98
720019563001022|98
720019563001023|98
720019563001024|98
720019563001025|98
720019563001026|98
720019563001027|98
720019563001028|98
720019563001029|98
720019563001030|98
720019563001031|98
720019563001032|98
720019563001033|98
720019563001034|98
720019563001035|98
720019563001036|98
720019563001037|98
720019563001038|98
720019563001039|98
720019563001040|98
720019563001041|98
720019563001042|98
720019563001043|98
720019563001044|98
720019563001045|98
720019563001046|98
720019563001047|98
720019563001048|98
720019563001049|98
720019563001050|98
720019563001051|98
720019563001052|98
720019563001053|98
720019563001054|98
720019563001055|98
720019563001056|98
720019563001057|98
720019563001058|98
720019563001059|98
720019563001060|98
720019563001061|98
720019563001062|98
720019563002000|98
720019563002001|98
720019563002002|98
720019563002003|98
720019563002004|98
720019563002005|98
720019563002006|98
720019563002007|98
720019563002008|98
720019563002009|98
720019563002010|98
720019563002011|98
720019563002012|98
720019563002013|98
720019563002014|98
720019563002015|98
720019563002016|98
720019563002017|98
720019563002018|98
720019563002019|98
720019563002020|98
720019563002021|98
720019563002022|98
720019563002023|98
720019563002024|98
720019563002025|98
720019563002026|98
720019563002027|98
720019563002028|98
720019563002029|98
720019563002030|98
720019563002031|98
720019563002032|98
720019563002033|98
720019563002034|98
720019563002035|98
720019563002036|98
720019563002037|98
720019563002038|98
720019563002039|98
720019563002040|98
720019563002041|98
720019563002042|98
720019563002043|98
720019563002044|98
720019563002045|98
720019563002046|98
720019563002047|98
720019563002048|98
720019563002049|98
720019563002050|98
720019563002051|98
720019563002052|98
720019563002053|98
720019563002054|98
720019563002055|98
720019564001000|98
720019564001001|98
720019564001002|98
720019564001003|98
720019564001004|98
720019564001005|98
720019564001006|98
720019564001007|98
720019564001008|98
720019564001009|98
720019564001010|98
720019564001011|98
720019564001012|98
720019564001013|98
720019564001014|98
720019564001015|98
720019564001016|98
720019564001017|98
720019564001018|98
720019564001019|98
720019564001020|98
720019564001021|98
720019564001022|98
720019564001023|98
720019564001024|98
720019564001025|98
720019564001026|98
720019564001027|98
720019564001028|98
720019564001029|98
720019564001030|98
720019564001031|98
720019564001032|98
720019564001033|98
720019564001034|98
720019564001035|98
720019564001036|98
720019564001037|98
720019564001038|98
720019564001039|98
720019564001040|98
720019564001041|98
720019564001042|98
720019564001043|98
720019564002000|98
720019564002001|98
720019564002002|98
720019564002003|98
720019564002004|98
720019564002005|98
720019564002006|98
720019564002007|98
720019564002008|98
720019564002009|98
720019564002010|98
720019564002011|98
720019564002012|98
720019564002013|98
720019564002014|98
720019564002015|98
720019564002016|98
720019564002017|98
720019564002018|98
720019564002019|98
720019564002020|98
720019564002021|98
720019564002022|98
720019564002023|98
720019564002024|98
720019564002025|98
720019564002026|98
720019564002027|98
720019564002028|98
720019564002029|98
720019564002030|98
720019564002031|98
720019564002032|98
720019564002033|98
720019564002034|98
720019564002035|98
720019564002036|98
720019564002037|98
720019564002038|98
720019564002039|98
720019564002040|98
720019565001000|98
720019565001001|98
720019565001002|98
720019565001003|98
720019565001004|98
720019565001005|98
720019565001006|98
720019565001007|98
720019565001008|98
720019565001009|98
720019565001010|98
720019565001011|98
720019565001012|98
720019565001013|98
720019565001014|98
720019565001015|98
720019565001016|98
720019565001017|98
720019565001018|98
720019565001019|98
720019565001020|98
720019565001021|98
720019565001022|98
720019565001023|98
720019565001024|98
720019565001025|98
720019565001026|98
720019565001027|98
720019565001028|98
720019565001029|98
720019565001030|98
720019565001031|98
720019565001032|98
720019565001033|98
720019565001034|98
720019565001035|98
720019565001036|98
720019565001037|98
720019565001038|98
720019565001039|98
720019565001040|98
720019565001041|98
720019565001042|98
720019565001043|98
720019565001044|98
720019565001045|98
720019565002000|98
720019565002001|98
720019565002002|98
720019565002003|98
720019565002004|98
720019565002005|98
720019565002006|98
720019565002007|98
720019565002008|98
720019565002009|98
720019565002010|98
720019565002011|98
720019565002012|98
720019565002013|98
720019565002014|98
720019565002015|98
720019565002016|98
720019565002017|98
720019565002018|98
720019565002019|98
720019565002020|98
720019565002021|98
720019565002022|98
720019565002023|98
720019565002024|98
720019565002025|98
720019565002026|98
720019565002027|98
720019565002028|98
720019565002029|98
720019565002030|98
720019565002031|98
720019565002032|98
720019565002033|98
720019565002034|98
720019565002035|98
720019565002036|98
720019565002037|98
720019565002038|98
720019565002039|98
720019565002040|98
720019565002041|98
720019565002042|98
720019566001000|98
720019566001001|98
720019566001002|98
720019566001003|98
720019566001004|98
720019566001005|98
720019566001006|98
720019566001007|98
720019566001008|98
720019566001009|98
720019566001010|98
720019566001011|98
720019566001012|98
720019566001013|98
720019566001014|98
720019566001015|98
720019566001016|98
720019566001017|98
720019566001018|98
720019566001019|98
720019566002000|98
720019566002001|98
720019566002002|98
720019566002003|98
720019566002004|98
720019566002005|98
720019566002006|98
720019566002007|98
720019566002008|98
720019566002009|98
720019566002010|98
720019566002011|98
720019566002012|98
720019566002013|98
720019566002014|98
720019566002015|98
720019567001000|98
720019567001001|98
720019567001002|98
720019567001003|98
720019567001004|98
720019567001005|98
720019567001006|98
720019567001007|98
720019567001008|98
720019567001009|98
720019567001010|98
720019567001011|98
720019567001012|98
720019567001013|98
720019567001014|98
720019567001015|98
720019567001016|98
720019567001017|98
720019567001018|98
720019567001019|98
720019567002000|98
720019567002001|98
720019567002002|98
720019567002003|98
720019567002004|98
720019567002005|98
720019567002006|98
720019567002007|98
720019567002008|98
720019567002009|98
720019567002010|98
720019567002011|98
720019567002012|98
720019567002013|98
720019567002014|98
720019567002015|98
720019567002016|98
720019567002017|98
720019567002018|98
720019567002019|98
720019567002020|98
720019567002021|98
720019568001000|98
720019568001001|98
720019568001002|98
720019568001003|98
720019568001004|98
720019568001005|98
720019568001006|98
720019568001007|98
720019568001008|98
720019568001009|98
720019568001010|98
720019568001011|98
720019568001012|98
720019568001013|98
720019568001014|98
720019568001015|98
720019568001016|98
720019568001017|98
720019568001018|98
720019568001019|98
720019568001020|98
720019568001021|98
720019568001022|98
720019568001023|98
720019568001024|98
720019568001025|98
720019568001026|98
720019568001027|98
720019568001028|98
720019568001029|98
720019568001030|98
720019568001031|98
720019568001032|98
720019568001033|98
720019568001034|98
720019568001035|98
720019568001036|98
720019568001037|98
720019568001038|98
720019568001039|98
720019568001040|98
720019568001041|98
720019568001042|98
720019568001043|98
720019568001044|98
720019568001045|98
720019568001046|98
720019568001047|98
720019568001048|98
720019568002000|98
720019568002001|98
720019568002002|98
720019568002003|98
720019568002004|98
720019568002005|98
720019568002006|98
720019568002007|98
720019568002008|98
720019568002009|98
720019568002010|98
720019568002011|98
720019568002012|98
720019568002013|98
720019568002014|98
720019568002015|98
720019568002016|98
720019568002017|98
720019568002018|98
720019568002019|98
720019568002020|98
720019568002021|98
720019568002022|98
720019568002023|98
720019568002024|98
720019568002025|98
720019568002026|98
720019568002027|98
720019568002028|98
720019568002029|98
720019568002030|98
720019568002031|98
720019568002032|98
720019568002033|98
720019568002034|98
720019568002035|98
720019568002036|98
720019568002037|98
720019568002038|98
720019568002039|98
720019568002040|98
720019568002041|98
720019568002042|98
720019568002043|98
720019568002044|98
720019568002045|98
720019568002046|98
720019568002047|98
720019568002048|98
720019568002049|98
720019568002050|98
720019568002051|98
720019568002052|98
720019568002053|98
720019568002054|98
720019568002055|98
720019568002056|98
720019568002057|98
720019568002058|98
720019568002059|98
720019568002060|98
720019568002061|98
720019568002062|98
720019568002063|98
720019568002064|98
720019568002065|98
720019568002066|98
720019568002067|98
720019568002068|98
720019568002069|98
720019568002070|98
720019568002071|98
720019568002072|98
720019568002073|98
720019568002074|98
720019568002075|98
720019568002076|98
720034301001000|98
720034301001001|98
720034301001002|98
720034301001003|98
720034301001004|98
720034301001005|98
720034301001006|98
720034301001007|98
720034301001008|98
720034301001009|98
720034301001010|98
720034301001011|98
720034301001012|98
720034301001013|98
720034301001014|98
720034301001015|98
720034301001016|98
720034301001017|98
720034301001018|98
720034301001019|98
720034301001020|98
720034301001021|98
720034301002000|98
720034301002001|98
720034301002002|98
720034301002003|98
720034301002004|98
720034301002005|98
720034301002006|98
720034301002007|98
720034301002008|98
720034301002009|98
720034301002010|98
720034301002011|98
720034301003000|98
720034301003001|98
720034301003002|98
720034301003003|98
720034301003004|98
720034301003005|98
720034301003006|98
720034301003007|98
720034301003008|98
720034301003009|98
720034301003010|98
720034301003011|98
720034301003012|98
720034301003013|98
720034301003014|98
720034301003015|98
720034301003016|98
720034301003017|98
720034301003018|98
720034301003019|98
720034301003020|98
720034301003021|98
720034301003022|98
720034301003023|98
720034302001000|98
720034302001001|98
720034302001002|98
720034302001003|98
720034302001004|98
720034302001005|98
720034302001006|98
720034302001007|98
720034302001008|98
720034302001009|98
720034302001010|98
720034302001011|98
720034302001012|98
720034302001013|98
720034302001014|98
720034302001015|98
720034302001016|98
720034302001017|98
720034302001018|98
720034302001019|98
720034302001020|98
720034302001021|98
720034302001022|98
720034302001023|98
720034302001024|98
720034302002000|98
720034302002001|98
720034302002002|98
720034302002003|98
720034302002004|98
720034302002005|98
720034302002006|98
720034302002007|98
720034302002008|98
720034302002009|98
720034302002010|98
720034302002011|98
720034302002012|98
720034302002013|98
720034302002014|98
720034302002015|98
720034302002016|98
720034302002017|98
720034302002018|98
720034302002019|98
720034302002020|98
720034302002021|98
720034302002022|98
720034302002023|98
720034302002024|98
720034302002025|98
720034302003000|98
720034302003001|98
720034302003002|98
720034302003003|98
720034302003004|98
720034302003005|98
720034302003006|98
720034302003007|98
720034302003008|98
720034302003009|98
720034302003010|98
720034302003011|98
720034302003012|98
720034302003013|98
720034302003014|98
720034302003015|98
720034302003016|98
720034302003017|98
720034302003018|98
720034302003019|98
720034303001000|98
720034303001001|98
720034303001002|98
720034303001003|98
720034303001004|98
720034303001005|98
720034303001006|98
720034303001007|98
720034303001008|98
720034303001009|98
720034303001010|98
720034303001011|98
720034303001012|98
720034303001013|98
720034303001014|98
720034303002000|98
720034303002001|98
720034303002002|98
720034303002003|98
720034303002004|98
720034303002005|98
720034303002006|98
720034303002007|98
720034303002008|98
720034303002009|98
720034303002010|98
720034303002011|98
720034303002012|98
720034303002013|98
720034303002014|98
720034303002015|98
720034303002016|98
720034303002017|98
720034303002018|98
720034303002019|98
720034303003000|98
720034303003001|98
720034303003002|98
720034303003003|98
720034303003004|98
720034303003005|98
720034303003006|98
720034303003007|98
720034304011000|98
720034304011001|98
720034304011002|98
720034304011003|98
720034304011004|98
720034304011005|98
720034304011006|98
720034304011007|98
720034304011008|98
720034304011009|98
720034304011010|98
720034304011011|98
720034304012000|98
720034304012001|98
720034304012002|98
720034304012003|98
720034304012004|98
720034304012005|98
720034304013000|98
720034304013001|98
720034304013002|98
720034304013003|98
720034304013004|98
720034304013005|98
720034304013006|98
720034304013007|98
720034304013008|98
720034304013009|98
720034304013010|98
720034304013011|98
720034304021000|98
720034304021001|98
720034304021002|98
720034304021003|98
720034304021004|98
720034304021005|98
720034304021006|98
720034304021007|98
720034304021008|98
720034304021009|98
720034304021010|98
720034304021011|98
720034304021012|98
720034304021013|98
720034304021014|98
720034304022000|98
720034304022001|98
720034304022002|98
720034304022003|98
720034304022004|98
720034304022005|98
720034304022006|98
720034304022007|98
720034304022008|98
720034304022009|98
720034304022010|98
720034304022011|98
720034304022012|98
720034304022013|98
720034304022014|98
720034304022015|98
720034304022016|98
720034304022017|98
720034304022018|98
720034304022019|98
