BLOCKID|PLACEFP
720019563001000|
720019563001001|
720019563001002|
720019563001003|
720019563001004|
720019563001005|
720019563001006|
720019563001007|
720019563001008|
720019563001009|
720019563001010|
720019563001011|
720019563001012|
720019563001013|
720019563001014|
720019563001015|
720019563001016|
720019563001017|
720019563001018|
720019563001019|
720019563001020|
720019563001021|
720019563001022|
720019563001023|
720019563001024|
720019563001025|
720019563001026|
720019563001027|
720019563001028|
720019563001029|
720019563001030|
720019563001031|
720019563001032|
720019563001033|
720019563001034|
720019563001035|
720019563001036|
720019563001037|
720019563001038|
720019563001039|
720019563001040|
720019563001041|
720019563001042|
720019563001043|
720019563001044|
720019563001045|
720019563001046|
720019563001047|
720019563001048|
720019563001049|
720019563001050|
720019563001051|
720019563001052|
720019563001053|
720019563001054|
720019563001055|
720019563001056|
720019563001057|
720019563001058|
720019563001059|
720019563001060|
720019563001061|
720019563001062|
720019563002000|
720019563002001|
720019563002002|
720019563002003|
720019563002004|
720019563002005|
720019563002006|
720019563002007|
720019563002008|
720019563002009|
720019563002010|
720019563002011|
720019563002012|
720019563002013|
720019563002014|
720019563002015|
720019563002016|
720019563002017|
720019563002018|
720019563002019|
720019563002020|
720019563002021|
720019563002022|
720019563002023|
720019563002024|
720019563002025|
720019563002026|
720019563002027|
720019563002028|
720019563002029|
720019563002030|
720019563002031|
720019563002032|
720019563002033|
720019563002034|
720019563002035|
720019563002036|
720019563002037|
720019563002038|
720019563002039|
720019563002040|
720019563002041|
720019563002042|
720019563002043|
720019563002044|
720019563002045|
720019563002046|
720019563002047|
720019563002048|
720019563002049|
720019563002050|
720019563002051|
720019563002052|
720019563002053|
720019563002054|
720019563002055|
720019564001000|
720019564001001|
720019564001002|
720019564001003|
720019564001004|
720019564001005|
720019564001006|
720019564001007|
720019564001008|
720019564001009|
720019564001010|
720019564001011|
720019564001012|
720019564001013|
720019564001014|
720019564001015|
720019564001016|
720019564001017|
720019564001018|
720019564001019|
720019564001020|
720019564001021|
720019564001022|
720019564001023|
720019564001024|
720019564001025|
720019564001026|
720019564001027|
720019564001028|
720019564001029|
720019564001030|
720019564001031|
720019564001032|
720019564001033|
720019564001034|
720019564001035|
720019564001036|
720019564001037|
720019564001038|
720019564001039|
720019564001040|
720019564001041|
720019564001042|
720019564001043|
720019564002000|
720019564002001|
720019564002002|
720019564002003|
720019564002004|
720019564002005|
720019564002006|
720019564002007|
720019564002008|
720019564002009|
720019564002010|
720019564002011|
720019564002012|
720019564002013|
720019564002014|
720019564002015|
720019564002016|
720019564002017|
720019564002018|
720019564002019|
720019564002020|
720019564002021|
720019564002022|
720019564002023|
720019564002024|
720019564002025|
720019564002026|
720019564002027|
720019564002028|
720019564002029|
720019564002030|
720019564002031|
720019564002032|
720019564002033|
720019564002034|
720019564002035|
720019564002036|
720019564002037|
720019564002038|
720019564002039|
720019564002040|
720019565001000|
720019565001001|
720019565001002|
720019565001003|
720019565001004|
720019565001005|00358
720019565001006|
720019565001007|
720019565001008|
720019565001009|
720019565001010|
720019565001011|
720019565001012|
720019565001013|
720019565001014|
720019565001015|
720019565001016|
720019565001017|
720019565001018|
720019565001019|
720019565001020|
720019565001021|
720019565001022|
720019565001023|
720019565001024|
720019565001025|
720019565001026|
720019565001027|
720019565001028|
720019565001029|
720019565001030|
720019565001031|
720019565001032|
720019565001033|
720019565001034|
720019565001035|
720019565001036|
720019565001037|
720019565001038|
720019565001039|
