BLOCKID|DISTRICT
720019563001000|00030
720019563001001|00030
720019563001002|00030
720019563001003|00030
720019563001004|00030
720019563001005|00030
720019563001006|00030
720019563001007|00030
720019563001008|00030
720019563001009|00030
720019563001010|00030
720019563001011|00030
720019563001012|00030
720019563001013|00030
720019563001014|00030
720019563001015|00030
720019563001016|00030
720019563001017|00030
720019563001018|00030
720019563001019|00030
720019563001020|00030
720019563001021|00030
720019563001022|00030
720019563001023|00030
720019563001024|00030
720019563001025|00030
720019563001026|00030
720019563001027|00030
720019563001028|00030
720019563001029|00030
720019563001030|00030
720019563001031|00030
720019563001032|00030
720019563001033|00030
720019563001034|00030
720019563001035|00030
720019563001036|00030
720019563001037|00030
720019563001038|00030
720019563001039|00030
720019563001040|00030
720019563001041|00030
720019563001042|00030
720019563001043|00030
720019563001044|00030
720019563001045|00030
720019563001046|00030
720019563001047|00030
720019563001048|00030
720019563001049|00030
720019563001050|00030
720019563001051|00030
720019563001052|00030
720019563001053|00030
720019563001054|00030
720019563001055|00030
720019563001056|00030
720019563001057|00030
720019563001058|00030
720019563001059|00030
720019563001060|00030
720019563001061|00030
720019563001062|00030
720019563002000|00030
720019563002001|00030
720019563002002|00030
720019563002003|00030
720019563002004|00030
720019563002005|00030
720019563002006|00030
720019563002007|00030
720019563002008|00030
720019563002009|00030
720019563002010|00030
720019563002011|00030
720019563002012|00030
720019563002013|00030
720019563002014|00030
720019563002015|00030
720019563002016|00030
720019563002017|00030
720019563002018|00030
720019563002019|00030
720019563002020|00030
720019563002021|00030
720019563002022|00030
720019563002023|00030
720019563002024|00030
720019563002025|00030
720019563002026|00030
720019563002027|00030
720019563002028|00030
720019563002029|00030
720019563002030|00030
720019563002031|00030
720019563002032|00030
720019563002033|00030
720019563002034|00030
720019563002035|00030
720019563002036|00030
720019563002037|00030
720019563002038|00030
720019563002039|00030
720019563002040|00030
720019563002041|00030
720019563002042|00030
720019563002043|00030
720019563002044|00030
720019563002045|00030
720019563002046|00030
720019563002047|00030
720019563002048|00030
720019563002049|00030
720019563002050|00030
720019563002051|00030
720019563002052|00030
720019563002053|00030
720019563002054|00030
720019563002055|00030
720019564001000|00030
720019564001001|00030
720019564001002|00030
720019564001003|00030
720019564001004|00030
720019564001005|00030
720019564001006|00030
720019564001007|00030
720019564001008|00030
720019564001009|00030
720019564001010|00030
720019564001011|00030
720019564001012|00030
720019564001013|00030
720019564001014|00030
720019564001015|00030
720019564001016|00030
720019564001017|00030
720019564001018|00030
720019564001019|00030
720019564001020|00030
720019564001021|00030
720019564001022|00030
720019564001023|00030
720019564001024|00030
720019564001025|00030
720019564001026|00030
720019564001027|00030
720019564001028|00030
720019564001029|00030
720019564001030|00030
720019564001031|00030
720019564001032|00030
720019564001033|00030
720019564001034|00030
720019564001035|00030
720019564001036|00030
720019564001037|00030
720019564001038|00030
720019564001039|00030
720019564001040|00030
720019564001041|00030
720019564001042|00030
720019564001043|00030
720019564002000|00030
720019564002001|00030
720019564002002|00030
720019564002003|00030
720019564002004|00030
720019564002005|00030
720019564002006|00030
720019564002007|00030
720019564002008|00030
720019564002009|00030
720019564002010|00030
720019564002011|00030
720019564002012|00030
720019564002013|00030
720019564002014|00030
720019564002015|00030
720019564002016|00030
720019564002017|00030
720019564002018|00030
720019564002019|00030
720019564002020|00030
720019564002021|00030
720019564002022|00030
720019564002023|00030
720019564002024|00030
720019564002025|00030
720019564002026|00030
720019564002027|00030
720019564002028|00030
720019564002029|00030
720019564002030|00030
720019564002031|00030
720019564002032|00030
720019564002033|00030
720019564002034|00030
720019564002035|00030
720019564002036|00030
720019564002037|00030
720019564002038|00030
720019564002039|00030
720019564002040|00030
720019565001000|00030
720019565001001|00030
720019565001002|00030
720019565001003|00030
720019565001004|00030
720019565001005|00030
720019565001006|00030
720019565001007|00030
720019565001008|00030
720019565001009|00030
720019565001010|00030
720019565001011|00030
720019565001012|00030
720019565001013|00030
720019565001014|00030
720019565001015|00030
720019565001016|00030
720019565001017|00030
720019565001018|00030
720019565001019|00030
720019565001020|00030
720019565001021|00030
720019565001022|00030
720019565001023|00030
720019565001024|00030
720019565001025|00030
720019565001026|00030
720019565001027|00030
720019565001028|00030
720019565001029|00030
720019565001030|00030
720019565001031|00030
720019565001032|00030
720019565001033|00030
720019565001034|00030
720019565001035|00030
720019565001036|00030
720019565001037|00030
720019565001038|00030
720019565001039|00030
720019565001040|00030
720019565001041|00030
720019565001042|00030
720019565001043|00030
720019565001044|00030
720019565001045|00030
720019565002000|00030
720019565002001|00030
720019565002002|00030
720019565002003|00030
720019565002004|00030
720019565002005|00030
720019565002006|00030
720019565002007|00030
720019565002008|00030
720019565002009|00030
720019565002010|00030
720019565002011|00030
720019565002012|00030
720019565002013|00030
720019565002014|00030
720019565002015|00030
720019565002016|00030
720019565002017|00030
720019565002018|00030
720019565002019|00030
720019565002020|00030
720019565002021|00030
720019565002022|00030
720019565002023|00030
720019565002024|00030
720019565002025|00030
720019565002026|00030
720019565002027|00030
720019565002028|00030
720019565002029|00030
720019565002030|00030
720019565002031|00030
720019565002032|00030
720019565002033|00030
720019565002034|00030
720019565002035|00030
720019565002036|00030
720019565002037|00030
720019565002038|00030
720019565002039|00030
720019565002040|00030
720019565002041|00030
720019565002042|00030
720019566001000|00030
720019566001001|00030
720019566001002|00030
720019566001003|00030
720019566001004|00030
720019566001005|00030
720019566001006|00030
720019566001007|00030
720019566001008|00030
720019566001009|00030
720019566001010|00030
720019566001011|00030
720019566001012|00030
720019566001013|00030
720019566001014|00030
720019566001015|00030
720019566001016|00030
720019566001017|00030
720019566001018|00030
720019566001019|00030
720019566002000|00030
720019566002001|00030
720019566002002|00030
720019566002003|00030
720019566002004|00030
720019566002005|00030
720019566002006|00030
720019566002007|00030
720019566002008|00030
720019566002009|00030
720019566002010|00030
720019566002011|00030
720019566002012|00030
720019566002013|00030
720019566002014|00030
720019566002015|00030
720019567001000|00030
720019567001001|00030
720019567001002|00030
720019567001003|00030
720019567001004|00030
720019567001005|00030
720019567001006|00030
720019567001007|00030
720019567001008|00030
720019567001009|00030
720019567001010|00030
720019567001011|00030
720019567001012|00030
720019567001013|00030
720019567001014|00030
720019567001015|00030
720019567001016|00030
720019567001017|00030
720019567001018|00030
720019567001019|00030
720019567002000|00030
720019567002001|00030
720019567002002|00030
720019567002003|00030
720019567002004|00030
720019567002005|00030
720019567002006|00030
720019567002007|00030
720019567002008|00030
720019567002009|00030
720019567002010|00030
720019567002011|00030
720019567002012|00030
720019567002013|00030
720019567002014|00030
720019567002015|00030
720019567002016|00030
720019567002017|00030
720019567002018|00030
720019567002019|00030
720019567002020|00030
720019567002021|00030
720019568001000|00030
720019568001001|00030
720019568001002|00030
720019568001003|00030
