BLOCKID|DISTRICT
720019563001000|022
720019563001001|022
720019563001002|022
720019563001003|022
720019563001004|022
720019563001005|022
720019563001006|022
720019563001007|022
720019563001008|022
720019563001009|022
720019563001010|022
720019563001011|022
720019563001012|022
720019563001013|022
720019563001014|022
720019563001015|022
720019563001016|022
720019563001017|022
720019563001018|022
720019563001019|022
720019563001020|022
720019563001021|022
720019563001022|022
720019563001023|022
720019563001024|022
720019563001025|022
720019563001026|022
720019563001027|022
720019563001028|022
720019563001029|022
720019563001030|022
720019563001031|022
720019563001032|022
720019563001033|022
720019563001034|022
720019563001035|022
720019563001036|022
720019563001037|022
720019563001038|022
720019563001039|022
720019563001040|022
720019563001041|022
720019563001042|022
720019563001043|022
720019563001044|022
720019563001045|022
720019563001046|022
720019563001047|022
720019563001048|022
720019563001049|022
720019563001050|022
720019563001051|022
720019563001052|022
720019563001053|022
720019563001054|022
720019563001055|022
720019563001056|022
720019563001057|022
720019563001058|022
720019563001059|022
720019563001060|022
720019563001061|022
720019563001062|022
720019563002000|022
720019563002001|022
720019563002002|022
720019563002003|022
720019563002004|022
720019563002005|022
720019563002006|022
720019563002007|022
720019563002008|022
720019563002009|022
720019563002010|022
720019563002011|022
720019563002012|022
720019563002013|022
720019563002014|022
720019563002015|022
720019563002016|022
720019563002017|022
720019563002018|022
720019563002019|022
720019563002020|022
720019563002021|022
720019563002022|022
720019563002023|022
720019563002024|022
720019563002025|022
720019563002026|022
720019563002027|022
720019563002028|022
720019563002029|022
720019563002030|022
720019563002031|022
720019563002032|022
720019563002033|022
720019563002034|022
720019563002035|022
720019563002036|022
720019563002037|022
720019563002038|022
720019563002039|022
720019563002040|022
720019563002041|022
720019563002042|022
720019563002043|022
720019563002044|022
720019563002045|022
720019563002046|022
720019563002047|022
720019563002048|022
720019563002049|022
720019563002050|022
720019563002051|022
720019563002052|022
720019563002053|022
720019563002054|022
720019563002055|022
720019564001000|022
720019564001001|022
720019564001002|022
720019564001003|022
720019564001004|022
720019564001005|022
720019564001006|022
720019564001007|022
720019564001008|022
720019564001009|022
720019564001010|022
720019564001011|022
720019564001012|022
720019564001013|022
720019564001014|022
720019564001015|022
720019564001016|022
720019564001017|022
720019564001018|022
720019564001019|022
720019564001020|022
720019564001021|022
720019564001022|022
720019564001023|022
720019564001024|022
720019564001025|022
720019564001026|022
720019564001027|022
720019564001028|022
720019564001029|022
720019564001030|022
720019564001031|022
720019564001032|022
720019564001033|022
720019564001034|022
720019564001035|022
720019564001036|022
720019564001037|022
720019564001038|022
720019564001039|022
720019564001040|022
720019564001041|022
720019564001042|022
720019564001043|022
720019564002000|022
720019564002001|022
720019564002002|022
720019564002003|022
720019564002004|022
720019564002005|022
720019564002006|022
720019564002007|022
720019564002008|022
720019564002009|022
720019564002010|022
720019564002011|022
720019564002012|022
720019564002013|022
720019564002014|022
720019564002015|022
720019564002016|022
720019564002017|022
720019564002018|022
720019564002019|022
720019564002020|022
