BLOCKID|DISTRICT
720019563001000|005
720019563001001|005
720019563001002|005
720019563001003|005
720019563001004|005
720019563001005|005
720019563001006|005
720019563001007|005
720019563001008|005
720019563001009|005
720019563001010|005
720019563001011|005
720019563001012|005
720019563001013|005
720019563001014|005
720019563001015|005
720019563001016|005
720019563001017|005
720019563001018|005
720019563001019|005
720019563001020|005
720019563001021|005
720019563001022|005
720019563001023|005
720019563001024|005
720019563001025|005
720019563001026|005
720019563001027|005
720019563001028|005
720019563001029|005
720019563001030|005
720019563001031|005
720019563001032|005
720019563001033|005
720019563001034|005
720019563001035|005
720019563001036|005
720019563001037|005
720019563001038|005
720019563001039|005
720019563001040|005
720019563001041|005
720019563001042|005
720019563001043|005
720019563001044|005
720019563001045|005
720019563001046|005
720019563001047|005
720019563001048|005
720019563001049|005
720019563001050|005
720019563001051|005
720019563001052|005
720019563001053|005
720019563001054|005
720019563001055|005
720019563001056|005
720019563001057|005
720019563001058|005
720019563001059|005
720019563001060|005
720019563001061|005
720019563001062|005
720019563002000|005
720019563002001|005
720019563002002|005
720019563002003|005
720019563002004|005
720019563002005|005
720019563002006|005
720019563002007|005
720019563002008|005
720019563002009|005
720019563002010|005
720019563002011|005
720019563002012|005
720019563002013|005
720019563002014|005
720019563002015|005
720019563002016|005
720019563002017|005
720019563002018|005
720019563002019|005
720019563002020|005
720019563002021|005
720019563002022|005
720019563002023|005
720019563002024|005
720019563002025|005
720019563002026|005
720019563002027|005
720019563002028|005
720019563002029|005
720019563002030|005
720019563002031|005
720019563002032|005
720019563002033|005
720019563002034|005
720019563002035|005
720019563002036|005
720019563002037|005
720019563002038|005
720019563002039|005
720019563002040|005
720019563002041|005
720019563002042|005
720019563002043|005
720019563002044|005
720019563002045|005
720019563002046|005
720019563002047|005
720019563002048|005
720019563002049|005
720019563002050|005
720019563002051|005
720019563002052|005
720019563002053|005
720019563002054|005
720019563002055|005
720019564001000|005
720019564001001|005
720019564001002|005
720019564001003|005
720019564001004|005
720019564001005|005
720019564001006|005
720019564001007|005
720019564001008|005
720019564001009|005
720019564001010|005
720019564001011|005
720019564001012|005
720019564001013|005
720019564001014|005
720019564001015|005
720019564001016|005
720019564001017|005
720019564001018|005
720019564001019|005
720019564001020|005
720019564001021|005
720019564001022|005
720019564001023|005
720019564001024|005
720019564001025|005
720019564001026|005
720019564001027|005
720019564001028|005
720019564001029|005
720019564001030|005
720019564001031|005
720019564001032|005
720019564001033|005
720019564001034|005
720019564001035|005
720019564001036|005
720019564001037|005
720019564001038|005
720019564001039|005
720019564001040|005
720019564001041|005
720019564001042|005
720019564001043|005
720019564002000|005
720019564002001|005
720019564002002|005
720019564002003|005
720019564002004|005
720019564002005|005
720019564002006|005
720019564002007|005
720019564002008|005
720019564002009|005
720019564002010|005
720019564002011|005
720019564002012|005
720019564002013|005
