BLOCKID|COUNTYFP|DISTRICT
720019563001000|001|055.10
720019563001001|001|055.10
720019563001002|001|055.10
720019563001003|001|055.10
720019563001004|001|055.10
720019563001005|001|055.10
720019563001006|001|0055.8
720019563001007|001|0055.8
720019563001008|001|0055.8
720019563001009|001|0055.8
720019563001010|001|0055.5
720019563001011|001|0055.1
720019563001012|001|0055.1
720019563001013|001|0055.1
720019563001014|001|0055.8
720019563001015|001|0055.8
720019563001016|001|0055.8
720019563001017|001|0055.8
720019563001018|001|055.10
720019563001019|001|055.10
720019563001020|001|055.10
720019563001021|001|055.10
720019563001022|001|055.10
720019563001023|001|055.10
720019563001024|001|055.10
720019563001025|001|055.10
720019563001026|001|0055.8
720019563001027|001|0055.8
720019563001028|001|0055.8
720019563001029|001|0055.8
720019563001030|001|055.10
720019563001031|001|055.10
720019563001032|001|0055.8
720019563001033|001|0055.8
720019563001034|001|0055.8
720019563001035|001|0055.8
720019563001036|001|0055.8
720019563001037|001|0055.5
720019563001038|001|0055.8
720019563001039|001|0055.5
720019563001040|001|0055.5
720019563001041|001|0055.8
720019563001042|001|0055.8
720019563001043|001|0055.8
720019563001044|001|0055.8
720019563001045|001|0055.8
720019563001046|001|0055.8
720019563001047|001|0055.8
720019563001048|001|0055.8
720019563001049|001|0055.8
720019563001050|001|0055.8
720019563001051|001|0055.8
720019563001052|001|0055.8
720019563001053|001|0055.8
720019563001054|001|0055.8
720019563001055|001|0055.8
720019563001056|001|0055.8
720019563001057|001|0055.8
720019563001058|001|0055.5
720019563001059|001|0055.5
720019563001060|001|0055.5
720019563001061|001|055.10
720019563001062|001|0055.8
720019563002000|001|0055.1
720019563002001|001|0055.1
720019563002002|001|0055.1
720019563002003|001|0055.1
720019563002004|001|0055.1
720019563002005|001|0055.1
720019563002006|001|0055.1
720019563002007|001|0055.1
720019563002008|001|0055.1
720019563002009|001|0055.1
720019563002010|001|0055.1
720019563002011|001|0055.1
720019563002012|001|0055.3
720019563002013|001|0055.5
720019563002014|001|0055.2
720019563002015|001|0055.3
720019563002016|001|0055.3
720019563002017|001|0055.5
720019563002018|001|0055.5
720019563002019|001|0055.5
720019563002020|001|0055.3
720019563002021|001|0055.5
720019563002022|001|0055.5
720019563002023|001|0055.5
720019563002024|001|0055.5
720019563002025|001|0055.5
720019563002026|001|0055.5
720019563002027|001|0055.5
720019563002028|001|0055.5
720019563002029|001|0055.5
720019563002030|001|0055.5
720019563002031|001|0055.5
720019563002032|001|0055.5
720019563002033|001|0055.5
720019563002034|001|0055.5
720019563002035|001|0055.5
720019563002036|001|0055.5
720019563002037|001|0055.5
720019563002038|001|0055.5
720019563002039|001|0055.5
720019563002040|001|0055.5
720019563002041|001|0055.5
720019563002042|001|0055.5
720019563002043|001|0055.5
720019563002044|001|0055.5
720019563002045|001|0055.5
720019563002046|001|0055.3
720019563002047|001|0055.3
720019563002048|001|0055.3
720019563002049|001|0055.3
720019563002050|001|0055.3
720019563002051|001|0055.5
720019563002052|001|0055.5
720019563002053|001|0055.5
720019563002054|001|0055.5
720019563002055|001|0055.5
720019564001000|001|055.10
720019564001001|001|055.10
720019564001002|001|055.10
720019564001003|001|055.10
720019564001004|001|055.10
720019564001005|001|055.10
720019564001006|001|055.10
720019564001007|001|055.10
720019564001008|001|055.10
720019564001009|001|055.10
720019564001010|001|055.10
720019564001011|001|055.10
720019564001012|001|055.10
720019564001013|001|055.10
720019564001014|001|055.10
720019564001015|001|055.10
720019564001016|001|055.10
720019564001017|001|055.10
720019564001018|001|055.10
720019564001019|001|055.10
720019564001020|001|055.10
720019564001021|001|055.10
720019564001022|001|055.10
720019564001023|001|055.10
720019564001024|001|055.10
720019564001025|001|055.10
720019564001026|001|055.10
720019564001027|001|055.10
720019564001028|001|055.10
720019564001029|001|055.10
720019564001030|001|055.10
720019564001031|001|055.10
720019564001032|001|055.10
720019564001033|001|055.10
720019564001034|001|055.10
720019564001035|001|055.10
720019564001036|001|055.10
720019564001037|001|055.10
720019564001038|001|055.10
720019564001039|001|055.10
720019564001040|001|055.10
720019564001041|001|055.10
720019564001042|001|055.10
720019564001043|001|055.10
720019564002000|001|055.10
720019564002001|001|055.10
720019564002002|001|055.10
720019564002003|001|055.10
720019564002004|001|055.10
720019564002005|001|055.10
720019564002006|001|055.10
720019564002007|001|055.10
720019564002008|001|0055.4
720019564002009|001|0055.4
720019564002010|001|0055.4
720019564002011|001|0055.4
720019564002012|001|0055.4
720019564002013|001|055.10
720019564002014|001|0055.4
720019564002015|001|0055.4
720019564002016|001|0055.4
720019564002017|001|0055.4
720019564002018|001|0055.4
720019564002019|001|0055.4
720019564002020|001|0055.4
720019564002021|001|0055.4
720019564002022|001|0055.4
720019564002023|001|0055.4
720019564002024|001|055.10
720019564002025|001|0055.4
720019564002026|001|0055.4
720019564002027|001|0055.4
720019564002028|001|0055.4
720019564002029|001|0055.4
720019564002030|001|0055.4
720019564002031|001|0055.4
720019564002032|001|0055.4
720019564002033|001|0055.4
720019564002034|001|0055.4
720019564002035|001|0055.4
720019564002036|001|0055.4
720019564002037|001|0055.4
720019564002038|001|0055.4
720019564002039|001|0055.4
720019564002040|001|0055.4
720019565001000|001|0055.5
720019565001001|001|0055.5
720019565001002|001|0055.5
720019565001003|001|0055.5
720019565001004|001|0055.5
720019565001005|001|055.12
720019565001006|001|0055.5
720019565001007|001|0055.5
720019565001008|001|0055.7
720019565001009|001|0055.7
720019565001010|001|0055.5
720019565001011|001|0055.7
720019565001012|001|0055.6
720019565001013|001|0055.6
720019565001014|001|0055.6
720019565001015|001|0055.6
720019565001016|001|0055.6
720019565001017|001|0055.6
720019565001018|001|0055.6
720019565001019|001|0055.6
720019565001020|001|0055.6
720019565001021|001|0055.7
720019565001022|001|0055.7
720019565001023|001|0055.7
720019565001024|001|0055.7
