COUNTY,TRACT,BLOCK,P0010001,P0030001,P0050001
001,956300,1000,138,114,0
001,956300,1001,118,95,0
001,956300,1002,47,45,0
001,956300,1003,86,64,0
001,956300,1004,66,56,0
001,956300,1005,17,10,0
001,956300,1006,26,21,0
001,956300,1007,21,21,0
001,956300,1008,44,43,0
001,956300,1009,56,49,0
001,956300,1010,1,1,0
001,956300,1011,16,10,0
001,956300,1012,18,13,0
001,956300,1013,13,9,0
001,956300,1014,9,9,0
001,956300,1015,107,95,0
001,956300,1016,8,5,0
001,956300,1017,11,9,0
001,956300,1018,22,20,0
001,956300,1019,56,42,0
001,956300,1020,54,43,0
001,956300,1021,21,20,0
001,956300,1022,18,9,0
001,956300,1023,33,23,0
001,956300,1024,72,50,0
001,956300,1025,29,23,0
001,956300,1026,1,1,0
001,956300,1027,18,11,0
001,956300,1028,23,16,0
001,956300,1029,18,12,0
001,956300,1030,17,10,0
001,956300,1031,20,17,0
001,956300,1032,9,6,0
001,956300,1033,138,125,0
001,956300,1034,0,0,0
001,956300,1035,9,9,0
001,956300,1036,6,4,0
001,956300,1037,8,4,0
001,956300,1038,34,34,0
001,956300,1039,0,0,0
001,956300,1040,29,20,0
001,956300,1041,17,13,0
001,956300,1042,15,13,0
001,956300,1043,19,13,0
001,956300,1044,20,14,0
001,956300,1045,11,8,0
001,956300,1046,41,41,0
001,956300,1047,53,43,0
001,956300,1048,12,11,0
001,956300,1049,9,9,0
001,956300,1050,28,24,0
001,956300,1051,14,14,0
001,956300,1052,9,7,0
001,956300,1053,20,20,0
001,956300,1054,16,11,0
001,956300,1055,12,8,0
001,956300,1056,9,8,0
001,956300,1057,0,0,0
001,956300,1058,0,0,0
001,956300,1059,26,19,0
001,956300,1060,29,23,0
001,956300,1061,66,59,0
001,956300,1062,21,17,0
001,956300,2000,17,12,0
001,956300,2001,53,46,0
001,956300,2002,145,118,0
001,956300,2003,18,18,0
001,956300,2004,11,6,0
001,956300,2005,6,6,0
001,956300,2006,49,43,0
001,956300,2007,26,26,0
001,956300,2008,21,14,0
001,956300,2009,22,22,0
001,956300,2010,25,22,0
001,956300,2011,0,0,0
001,956300,2012,10,10,0
001,956300,2013,19,6,0
001,956300,2014,0,0,0
001,956300,2015,75,61,0
001,956300,2016,68,51,0
001,956300,2017,28,21,0
001,956300,2018,12,10,0
001,956300,2019,31,27,0
001,956300,2020,50,31,0
001,956300,2021,57,47,0
001,956300,2022,4,3,0
001,956300,2023,41,26,0
001,956300,2024,6,3,0
001,956300,2025,6,5,0
001,956300,2026,164,150,0
001,956300,2027,230,192,0
001,956300,2028,18,16,0
001,956300,2029,32,25,0
001,956300,2030,34,19,0
001,956300,2031,61,54,0
001,956300,2032,31,31,0
001,956300,2033,6,4,0
001,956300,2034,15,15,0
001,956300,2035,13,9,0
001,956300,2036,6,6,0
001,956300,2037,0,0,0
001,956300,2038,13,10,0
001,956300,2039,10,3,0
001,956300,2040,92,84,0
001,956300,2041,7,7,0
001,956300,2042,29,20,0
001,956300,2043,63,48,0
001,956300,2044,14,6,0
001,956300,2045,0,0,0
001,956300,2046,79,63,0
001,956300,2047,74,64,0
001,956300,2048,19,18,0
001,956300,2049,53,46,0
001,956300,2050,62,59,0
001,956300,2051,11,2,8
001,956300,2052,0,0,0
001,956300,2053,9,7,0
001,956300,2054,16,16,0
001,956300,2055,23,19,0
001,956400,1000,86,67,0
001,956400,1001,169,132,0
001,956400,1002,27,23,0
001,956400,1003,12,8,0
001,956400,1004,16,13,0
001,956400,1005,31,25,0
001,956400,1006,24,15,0
001,956400,1007,28,23,0
001,956400,1008,34,30,0
001,956400,1009,43,30,0
001,956400,1010,40,25,0
001,956400,1011,22,21,0
001,956400,1012,44,38,0
001,956400,1013,20,19,0
001,956400,1014,53,35,0
001,956400,1015,30,29,0
001,956400,1016,88,71,0
001,956400,1017,13,13,0
001,956400,1018,14,13,0
001,956400,1019,3,1,0
001,956400,1020,25,23,0
001,956400,1021,14,8,0
001,956400,1022,15,7,0
001,956400,1023,23,18,0
001,956400,1024,10,8,0
001,956400,1025,13,12,0
001,956400,1026,74,63,0
001,956400,1027,5,2,0
001,956400,1028,17,13,0
001,956400,1029,9,8,0
001,956400,1030,71,67,0
001,956400,1031,14,11,0
001,956400,1032,156,145,0
001,956400,1033,40,31,0
001,956400,1034,8,6,0
001,956400,1035,46,35,0
001,956400,1036,4,4,0
001,956400,1037,20,16,0
001,956400,1038,26,23,0
001,956400,1039,46,44,0
001,956400,1040,32,27,0
001,956400,1041,15,12,0
001,956400,1042,83,72,0
001,956400,1043,69,56,0
001,956400,2000,19,14,0
001,956400,2001,30,24,0
001,956400,2002,17,13,0
001,956400,2003,19,12,0
001,956400,2004,27,20,0
001,956400,2005,17,11,0
001,956400,2006,58,52,0
001,956400,2007,71,58,0
001,956400,2008,33,30,0
001,956400,2009,127,102,0
001,956400,2010,14,14,0
001,956400,2011,9,9,0
001,956400,2012,0,0,0
001,956400,2013,0,0,0
001,956400,2014,34,34,0
001,956400,2015,18,12,0
001,956400,2016,0,0,0
001,956400,2017,66,53,0
001,956400,2018,25,23,0
001,956400,2019,4,4,0
001,956400,2020,66,57,0
001,956400,2021,17,13,0
001,956400,2022,12,7,0
001,956400,2023,111,89,0
001,956400,2024,2,2,0
001,956400,2025,8,4,0
001,956400,2026,14,13,0
001,956400,2027,23,19,0
001,956400,2028,14,11,0
001,956400,2029,25,21,0
001,956400,2030,24,24,0
001,956400,2031,9,8,0
001,956400,2032,15,13,0
001,956400,2033,10,9,0
001,956400,2034,22,12,0
001,956400,2035,0,0,0
001,956400,2036,5,5,0
001,956400,2037,9,6,0
001,956400,2038,7,5,0
001,956400,2039,23,22,0
001,956400,2040,9,9,0
001,956500,1000,24,14,0
001,956500,1001,0,0,0
001,956500,1002,108,90,0
001,956500,1003,21,21,0
001,956500,1004,50,41,0
001,956500,1005,4,4,0
001,956500,1006,155,120,0
001,956500,1007,24,11,0
001,956500,1008,348,304,0
001,956500,1009,51,39,0
001,956500,1010,15,13,0
001,956500,1011,82,57,0
001,956500,1012,45,38,0
001,956500,1013,15,10,0
001,956500,1014,18,13,0
001,956500,1015,53,38,0
001,956500,1016,16,10,0
001,956500,1017,32,32,0
001,956500,1018,12,10,0
001,956500,1019,5,5,0
001,956500,1020,23,21,0
001,956500,1021,43,37,0
001,956500,1022,38,35,0
001,956500,1023,21,15,0
001,956500,1024,25,22,0
001,956500,1025,27,23,0
001,956500,1026,6,5,0
001,956500,1027,12,11,0
001,956500,1028,33,26,0
001,956500,1029,17,16,0
001,956500,1030,40,35,0
001,956500,1031,5,5,0
001,956500,1032,0,0,0
001,956500,1033,7,7,0
001,956500,1034,19,17,0
001,956500,1035,7,7,0
001,956500,1036,55,53,0
001,956500,1037,32,29,0
001,956500,1038,43,36,0
001,956500,1039,3,3,0
001,956500,1040,0,0,0
001,956500,1041,5,4,0
001,956500,1042,59,43,0
001,956500,1043,0,0,0
001,956500,1044,13,13,0
001,956500,1045,269,243,0
001,956500,2000,32,28,0
001,956500,2001,16,10,0
001,956500,2002,15,12,0
001,956500,2003,7,4,0
001,956500,2004,8,4,0
001,956500,2005,13,13,0
001,956500,2006,171,139,0
001,956500,2007,30,30,0
001,956500,2008,64,58,0
001,956500,2009,87,71,0
001,956500,2010,22,16,0
001,956500,2011,15,10,0
001,956500,2012,5,5,0
001,956500,2013,4,4,0
001,956500,2014,0,0,0
001,956500,2015,7,2,0
001,956500,2016,10,5,0
001,956500,2017,80,62,0
001,956500,2018,23,18,0
001,956500,2019,29,28,0
001,956500,2020,20,16,0
001,956500,2021,9,6,0
001,956500,2022,17,15,0
001,956500,2023,16,15,0
001,956500,2024,6,6,0
001,956500,2025,30,27,0
001,956500,2026,2,1,0
001,956500,2027,7,3,0
001,956500,2028,0,0,0
001,956500,2029,6,5,0
001,956500,2030,9,9,0
001,956500,2031,30,20,0
001,956500,2032,9,6,0
001,956500,2033,0,0,0
001,956500,2034,21,18,0
001,956500,2035,11,11,0
001,956500,2036,13,9,0
001,956500,2037,0,0,0
001,956500,2038,10,10,0
001,956500,2039,24,17,0
001,956500,2040,4,4,0
001,956500,2041,0,0,0
001,956500,2042,0,0,0
001,956600,1000,55,46,0
001,956600,1001,70,65,0
001,956600,1002,16,16,0
001,956600,1003,0,0,0
001,956600,1004,0,0,0
001,956600,1005,0,0,0
001,956600,1006,229,156,0
001,956600,1007,70,52,0
001,956600,1008,33,28,0
001,956600,1009,44,41,0
001,956600,1010,160,133,0
001,956600,1011,314,237,0
001,956600,1012,39,29,0
001,956600,1013,28,26,0
001,956600,1014,24,20,0
001,956600,1015,90,77,0
001,956600,1016,38,33,0
001,956600,1017,23,21,0
001,956600,1018,21,20,0
001,956600,1019,0,0,0
001,956600,2000,113,85,0
001,956600,2001,25,17,0
001,956600,2002,14,6,0
001,956600,2003,190,153,0
001,956600,2004,23,12,0
001,956600,2005,15,13,0
001,956600,2006,44,35,0
001,956600,2007,49,31,0
001,956600,2008,15,9,0
001,956600,2009,50,39,0
001,956600,2010,100,88,0
001,956600,2011,12,12,0
001,956600,2012,51,43,0
001,956600,2013,11,8,0
001,956600,2014,111,88,0
001,956600,2015,11,8,0
001,956700,1000,46,38,0
001,956700,1001,0,0,0
001,956700,1002,21,17,0
001,956700,1003,0,0,0
001,956700,1004,15,14,0
001,956700,1005,0,0,0
001,956700,1006,10,5,0
001,956700,1007,0,0,0
001,956700,1008,77,66,0
001,956700,1009,151,133,0
001,956700,1010,6,3,0
001,956700,1011,101,84,0
001,956700,1012,32,30,0
