GISJOIN,YEAR,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,U7B001,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071
"G72000109563001","2020","1500000US720019563001","720019563001","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956300","1",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"26415681","72070","1","Block Group 1","S","+18.2100234","-066.7609749","BG",1884,739,330,32,8,4,0,365,1145,1088,8,1,0,0,788,4,0,0,62,0,0,224,0,1,0,31,9,0,0,10,0,0,4,0,1,0,0,0,6,0,0,1,0,0,0,0,26,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109563002","2020","1500000US720019563002","720019563002","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956300","2",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"18654214","18589","2","Block Group 2","S","+18.1971971","-066.7197517","BG",1984,1055,468,103,13,1,0,470,929,896,22,2,0,0,746,3,0,0,34,0,0,89,0,0,0,18,3,0,0,8,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,15,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109564001","2020","1500000US720019564001","720019564001","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956400","1",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"20884185","0","1","Block Group 1","S","+18.2141832","-066.7970780","BG",1632,603,277,38,6,0,0,282,1029,1007,7,2,0,0,793,0,0,0,155,0,0,47,0,0,3,15,0,0,0,8,0,0,2,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109564002","2020","1500000US720019564002","720019564002","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956400","2",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"16313326","590904","2","Block Group 2","S","+18.1898523","-066.8152752","BG",1013,460,197,23,1,0,0,239,553,540,3,1,0,0,516,0,0,0,14,0,0,6,0,0,0,8,1,0,0,1,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109565001","2020","1500000US720019565001","720019565001","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956500","1",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"22935457","159867","1","Block Group 1","S","+18.1514776","-066.7496022","BG",1880,765,377,63,9,0,0,316,1115,1087,36,0,0,0,986,0,0,0,52,0,0,13,0,0,0,18,4,2,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109565002","2020","1500000US720019565002","720019565002","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956500","2",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"21769640","0","2","Block Group 2","S","+18.1593113","-066.7906337","BG",882,361,218,10,0,0,0,133,521,509,1,1,0,0,481,0,0,0,21,0,0,5,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"G72000109566001","2020","1500000US720019566001","720019566001","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956600","1",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"1163399","0","1","Block Group 1","S","+18.1716369","-066.7214863","BG",1254,516,238,59,2,0,0,217,738,719,9,3,0,0,690,0,0,0,14,0,0,3,0,0,0,15,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109566002","2020","1500000US720019566002","720019566002","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956600","2",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"826884","0","2","Block Group 2","S","+18.1612293","-066.7283487","BG",834,455,297,48,5,1,0,104,379,368,17,4,0,0,343,0,0,0,0,0,0,4,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109567001","2020","1500000US720019567001","720019567001","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956700","1",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"1031965","0","1","Block Group 1","S","+18.1665719","-066.7163279","BG",871,442,217,28,0,0,0,197,429,421,5,3,0,0,383,4,0,0,21,0,0,5,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G72000109567002","2020","1500000US720019567002","720019567002","9","0","Puerto Rico","72","Adjuntas Municipio","001",,,,,,,"956700","2",,,,,,,,"38660","1","434","99999",,,,,,,,,,,,,,,"349767","0","2","Block Group 2","S","+18.1600509","-066.7226220","BG",1163,522,268,25,0,0,0,229,641,619,10,4,0,0,576,1,0,0,21,0,0,7,0,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
